Date,CountryAbbrv,Sales
2021-01-11,PRT,4338
2021-01-11,SWE,2419
2021-01-11,CZE,6140
2021-01-11,BEL,6036
2021-01-11,NLD,8125
2021-01-11,ROU,7645
2021-01-11,POL,8215
2021-01-11,ESP,20852
2021-01-11,ITA,16170
2021-01-11,FRA,0
2021-01-11,DEU,53603
2021-01-11,JPN,25421
2021-01-11,CAN,14860
2021-01-11,USA,74796
2021-01-11,MKD,187
2021-01-11,MDA,208
2021-01-11,ALB,188
2021-01-11,BIH,349
2021-01-11,NOR,759
2021-01-11,SRB,814
2021-01-11,CHE,55
2021-01-11,BLR,838
2021-01-11,UKR,3493
2021-01-11,GBR,6558
2021-01-11,RUS,11010
2021-01-11,TTO,58
2021-01-11,JAM,69
2021-01-11,PRI,93
2021-01-11,URY,91
2021-01-11,PAN,0
2021-01-11,CRI,178
2021-01-11,SLV,207
2021-01-11,PRY,218
2021-01-11,NIC,0
2021-01-11,HND,226
2021-01-11,CUB,405
2021-01-11,DOM,468
2021-01-11,HTI,424
2021-01-11,BOL,685
2021-01-11,GTM,603
2021-01-11,ECU,610
2021-01-11,CHL,621
2021-01-11,VEN,851
2021-01-11,PER,1259
2021-01-11,ARG,1474
2021-01-11,COL,2315
2021-01-11,MEX,2912
2021-01-11,BRA,6872
2021-01-18,GNQ,10
2021-01-18,GNB,7
2021-01-18,LSO,9
2021-01-18,GAB,6
2021-01-18,NAM,11
2021-01-18,BWA,9
2021-01-18,GMB,9
2021-01-18,ERI,8
2021-01-18,MRT,11
2021-01-18,LBR,16
2021-01-18,CAF,9
2021-01-18,COG,9
2021-01-18,LBY,25
2021-01-18,SLE,12
2021-01-18,TGO,48
2021-01-18,SSD,37
2021-01-18,TUN,61
2021-01-18,BDI,45
2021-01-18,BEN,75
2021-01-18,RWA,65
2021-01-18,GIN,27
2021-01-18,ZWE,76
2021-01-18,SEN,112
2021-01-18,SOM,33
2021-01-18,TCD,68
2021-01-18,ZMB,91
2021-01-18,MWI,40
2021-01-18,BFA,67
2021-01-18,MLI,109
2021-01-18,NER,73
2021-01-18,CMR,102
2021-01-18,CIV,101
2021-01-18,MDG,84
2021-01-18,MOZ,119
2021-01-18,GHA,100
2021-01-18,AGO,129
2021-01-18,MAR,102
2021-01-18,DZA,109
2021-01-18,SDN,173
2021-01-18,UGA,279
2021-01-18,KEN,182
2021-01-18,ZAF,114
2021-01-18,TZA,93
2021-01-18,COD,609
2021-01-18,EGY,348
2021-01-18,ETH,391
2021-01-18,NGA,966
2021-01-18,QAT,12
2021-01-18,ARM,20
2021-01-18,MNG,14
2021-01-18,GEO,7
2021-01-18,KWT,9
2021-01-18,OMN,19
2021-01-18,PSE,20
2021-01-18,NZL,19
2021-01-18,LBN,19
2021-01-18,SGP,23
2021-01-18,TKM,22
2021-01-18,KGZ,29
2021-01-18,HKG,51
2021-01-18,LAO,31
2021-01-18,ARE,34
2021-01-18,ISR,40
2021-01-18,AZE,73
2021-01-18,TJK,39
2021-01-18,PNG,41
2021-01-18,JOR,46
2021-01-18,KHM,62
2021-01-18,KAZ,76
2021-01-18,LKA,166
2021-01-18,SYR,216
2021-01-18,PRK,88
2021-01-18,AUS,89
2021-01-18,NPL,99
2021-01-18,MYS,103
2021-01-18,YEM,203
2021-01-18,UZB,122
2021-01-18,SAU,181
2021-01-18,AFG,98
2021-01-18,IRQ,252
2021-01-18,KOR,221
2021-01-18,MMR,201
2021-01-18,THA,336
2021-01-18,TUR,270
2021-01-18,IRN,683
2021-01-18,VNM,375
2021-01-18,PHL,558
2021-01-18,BGD,816
2021-01-18,PAK,1198
2021-01-18,IDN,785
2021-01-18,CHN,7150
2021-01-18,IND,996
2021-01-18,LVA,0
2021-01-18,SVN,1255
2021-01-18,LTU,2507
2021-01-18,HRV,2276
2021-01-18,IRL,1451
2021-01-18,SVK,3673
2021-01-18,FIN,2408
2021-01-18,DNK,4080
2021-01-18,BGR,6364
2021-01-18,AUT,7764
2021-01-18,HUN,7787
2021-01-18,GRC,7342
2021-01-18,PRT,4418
2021-01-18,SWE,12255
2021-01-18,CZE,4061
2021-01-18,BEL,8635
2021-01-18,NLD,10965
2021-01-18,ROU,11204
2021-01-18,POL,24786
2021-01-18,ESP,59497
2021-01-18,ITA,15100
2021-01-18,FRA,31006
2021-01-18,DEU,60009
2021-01-18,JPN,30880
2021-01-18,CAN,20825
2021-01-18,USA,246828
2021-01-18,MKD,310
2021-01-18,MDA,406
2021-01-18,ALB,488
2021-01-18,BIH,298
2021-01-18,NOR,1047
2021-01-18,SRB,1406
2021-01-18,CHE,1353
2021-01-18,BLR,1116
2021-01-18,UKR,6790
2021-01-18,GBR,12382
2021-01-18,RUS,24622
2021-01-18,TTO,39
2021-01-18,JAM,97
2021-01-18,PRI,151
2021-01-18,URY,161
2021-01-18,PAN,156
2021-01-18,CRI,165
2021-01-18,SLV,384
2021-01-18,PRY,214
2021-01-18,NIC,255
2021-01-18,HND,505
2021-01-18,CUB,965
2021-01-18,DOM,86
2021-01-18,HTI,259
2021-01-18,BOL,415
2021-01-18,GTM,667
2021-01-18,ECU,911
2021-01-18,CHL,1022
2021-01-18,VEN,849
2021-01-18,PER,1149
2021-01-18,ARG,1785
2021-01-18,COL,911
2021-01-18,MEX,4306
2021-01-18,BRA,6571
2021-01-25,GNQ,5
2021-01-25,GNB,6
2021-01-25,LSO,9
2021-01-25,GAB,2
2021-01-25,NAM,12
2021-01-25,BWA,12
2021-01-25,GMB,12
2021-01-25,ERI,20
2021-01-25,MRT,15
2021-01-25,LBR,19
2021-01-25,CAF,18
2021-01-25,COG,27
2021-01-25,LBY,32
2021-01-25,SLE,33
2021-01-25,TGO,28
2021-01-25,SSD,34
2021-01-25,TUN,50
2021-01-25,BDI,47
2021-01-25,BEN,22
2021-01-25,RWA,99
2021-01-25,GIN,16
2021-01-25,ZWE,57
2021-01-25,SEN,45
2021-01-25,SOM,97
2021-01-25,TCD,82
2021-01-25,ZMB,37
2021-01-25,MWI,106
2021-01-25,BFA,262
2021-01-25,MLI,81
2021-01-25,NER,70
2021-01-25,CMR,64
2021-01-25,CIV,185
2021-01-25,MDG,219
2021-01-25,MOZ,92
2021-01-25,GHA,119
2021-01-25,AGO,30
2021-01-25,MAR,124
2021-01-25,DZA,58
2021-01-25,SDN,134
2021-01-25,UGA,236
2021-01-25,KEN,98
2021-01-25,ZAF,374
2021-01-25,TZA,492
2021-01-25,COD,503
2021-01-25,EGY,395
2021-01-25,ETH,797
2021-01-25,NGA,663
2021-01-25,QAT,14
2021-01-25,ARM,14
2021-01-25,MNG,15
2021-01-25,GEO,17
2021-01-25,KWT,16
2021-01-25,OMN,33
2021-01-25,PSE,9
2021-01-25,NZL,18
2021-01-25,LBN,63
2021-01-25,SGP,25
2021-01-25,TKM,30
2021-01-25,KGZ,30
2021-01-25,HKG,30
2021-01-25,LAO,32
2021-01-25,ARE,22
2021-01-25,ISR,21
2021-01-25,AZE,13
2021-01-25,TJK,31
2021-01-25,PNG,41
2021-01-25,JOR,58
2021-01-25,KHM,15
2021-01-25,KAZ,52
2021-01-25,LKA,266
2021-01-25,SYR,30
2021-01-25,PRK,161
2021-01-25,AUS,81
2021-01-25,NPL,267
2021-01-25,MYS,140
2021-01-25,YEM,19
2021-01-25,UZB,182
2021-01-25,SAU,150
2021-01-25,AFG,48
2021-01-25,IRQ,162
2021-01-25,KOR,253
2021-01-25,MMR,226
2021-01-25,THA,333
2021-01-25,TUR,199
2021-01-25,IRN,502
2021-01-25,VNM,467
2021-01-25,PHL,546
2021-01-25,BGD,709
2021-01-25,PAK,822
2021-01-25,IDN,46
2021-01-25,CHN,8844
2021-01-25,IND,7218
2021-01-25,LVA,2110
2021-01-25,SVN,1985
2021-01-25,LTU,2900
2021-01-25,HRV,2471
2021-01-25,IRL,3964
2021-01-25,SVK,3837
2021-01-25,FIN,7514
2021-01-25,DNK,5772
2021-01-25,BGR,5566
2021-01-25,AUT,1768
2021-01-25,HUN,12571
2021-01-25,GRC,3717
2021-01-25,PRT,6213
2021-01-25,SWE,7352
2021-01-25,CZE,4632
2021-01-25,BEL,15765
2021-01-25,NLD,15840
2021-01-25,ROU,34508
2021-01-25,POL,9993
2021-01-25,ESP,30251
2021-01-25,ITA,6717
2021-01-25,FRA,49093
2021-01-25,DEU,91461
2021-01-25,JPN,32213
2021-01-25,CAN,19829
2021-01-25,USA,291672
2021-01-25,MKD,257
2021-01-25,MDA,538
2021-01-25,ALB,446
2021-01-25,BIH,238
2021-01-25,NOR,941
2021-01-25,SRB,1199
2021-01-25,CHE,2907
2021-01-25,BLR,2102
2021-01-25,UKR,6880
2021-01-25,GBR,11521
2021-01-25,RUS,26372
2021-01-25,TTO,79
2021-01-25,JAM,95
2021-01-25,PRI,198
2021-01-25,URY,249
2021-01-25,PAN,149
2021-01-25,CRI,177
2021-01-25,SLV,231
2021-01-25,PRY,165
2021-01-25,NIC,237
2021-01-25,HND,297
2021-01-25,CUB,211
2021-01-25,DOM,241
2021-01-25,HTI,391
2021-01-25,BOL,414
2021-01-25,GTM,706
2021-01-25,ECU,636
2021-01-25,CHL,692
2021-01-25,VEN,976
2021-01-25,PER,1117
2021-01-25,ARG,1446
2021-01-25,COL,1577
2021-01-25,MEX,3194
2021-01-25,BRA,6972
2021-02-01,GNQ,6
2021-02-01,GNB,8
2021-02-01,LSO,4
2021-02-01,GAB,7
2021-02-01,NAM,8
2021-02-01,BWA,9
2021-02-01,GMB,9
2021-02-01,ERI,8
2021-02-01,MRT,22
2021-02-01,LBR,13
2021-02-01,CAF,20
2021-02-01,COG,22
2021-02-01,LBY,18
2021-02-01,SLE,22
2021-02-01,TGO,49
2021-02-01,SSD,45
2021-02-01,TUN,46
2021-02-01,BDI,33
2021-02-01,BEN,107
2021-02-01,RWA,55
2021-02-01,GIN,54
2021-02-01,ZWE,58
2021-02-01,SEN,57
2021-02-01,SOM,60
2021-02-01,TCD,65
2021-02-01,ZMB,77
2021-02-01,MWI,119
2021-02-01,BFA,78
2021-02-01,MLI,101
2021-02-01,NER,86
2021-02-01,CMR,185
2021-02-01,CIV,222
2021-02-01,MDG,142
2021-02-01,MOZ,74
2021-02-01,GHA,118
2021-02-01,AGO,139
2021-02-01,MAR,94
2021-02-01,DZA,174
2021-02-01,SDN,109
2021-02-01,UGA,212
2021-02-01,KEN,106
2021-02-01,ZAF,167
2021-02-01,TZA,222
2021-02-01,COD,335
2021-02-01,EGY,554
2021-02-01,ETH,414
2021-02-01,NGA,2392
2021-02-01,QAT,9
2021-02-01,ARM,7
2021-02-01,MNG,12
2021-02-01,GEO,15
2021-02-01,KWT,19
2021-02-01,OMN,28
2021-02-01,PSE,22
2021-02-01,NZL,16
2021-02-01,LBN,5
2021-02-01,SGP,22
2021-02-01,TKM,24
2021-02-01,KGZ,17
2021-02-01,HKG,44
2021-02-01,LAO,19
2021-02-01,ARE,43
2021-02-01,ISR,41
2021-02-01,AZE,15
2021-02-01,TJK,44
2021-02-01,PNG,42
2021-02-01,JOR,34
2021-02-01,KHM,83
2021-02-01,KAZ,112
2021-02-01,LKA,119
2021-02-01,SYR,129
2021-02-01,PRK,71
2021-02-01,AUS,85
2021-02-01,NPL,175
2021-02-01,MYS,107
2021-02-01,YEM,206
2021-02-01,UZB,161
2021-02-01,SAU,139
2021-02-01,AFG,178
2021-02-01,IRQ,166
2021-02-01,KOR,207
2021-02-01,MMR,188
2021-02-01,THA,296
2021-02-01,TUR,308
2021-02-01,IRN,363
2021-02-01,VNM,516
2021-02-01,PHL,418
2021-02-01,BGD,687
2021-02-01,PAK,870
2021-02-01,IDN,1062
2021-02-01,CHN,8845
2021-02-01,IND,3690
2021-02-01,LVA,1739
2021-02-01,SVN,1350
2021-02-01,LTU,1861
2021-02-01,HRV,3676
2021-02-01,IRL,1614
2021-02-01,SVK,2332
2021-02-01,FIN,4251
2021-02-01,DNK,3582
2021-02-01,BGR,1300
2021-02-01,AUT,8767
2021-02-01,HUN,10427
2021-02-01,GRC,0
2021-02-01,PRT,10358
2021-02-01,SWE,7765
2021-02-01,CZE,4556
2021-02-01,BEL,11759
2021-02-01,NLD,13164
2021-02-01,ROU,13872
2021-02-01,POL,28167
2021-02-01,ESP,25069
2021-02-01,ITA,35891
2021-02-01,FRA,50424
2021-02-01,DEU,62893
2021-02-01,JPN,37752
2021-02-01,CAN,32912
2021-02-01,USA,170304
2021-02-01,MKD,199
2021-02-01,MDA,425
2021-02-01,ALB,1096
2021-02-01,BIH,670
2021-02-01,NOR,2
2021-02-01,SRB,1632
2021-02-01,CHE,2480
2021-02-01,BLR,1452
2021-02-01,UKR,3598
2021-02-01,GBR,7290
2021-02-01,RUS,25190
2021-02-01,TTO,52
2021-02-01,JAM,118
2021-02-01,PRI,85
2021-02-01,URY,61
2021-02-01,PAN,62
2021-02-01,CRI,70
2021-02-01,SLV,187
2021-02-01,PRY,213
2021-02-01,NIC,353
2021-02-01,HND,89
2021-02-01,CUB,200
2021-02-01,DOM,394
2021-02-01,HTI,679
2021-02-01,BOL,382
2021-02-01,GTM,701
2021-02-01,ECU,565
2021-02-01,CHL,795
2021-02-01,VEN,983
2021-02-01,PER,58
2021-02-01,ARG,0
2021-02-01,COL,2885
2021-02-01,MEX,0
2021-02-01,BRA,5786
2021-02-08,GNQ,10
2021-02-08,GNB,10
2021-02-08,LSO,9
2021-02-08,GAB,10
2021-02-08,NAM,8
2021-02-08,BWA,10
2021-02-08,GMB,18
2021-02-08,ERI,16
2021-02-08,MRT,38
2021-02-08,LBR,21
2021-02-08,CAF,17
2021-02-08,COG,28
2021-02-08,LBY,13
2021-02-08,SLE,26
2021-02-08,TGO,50
2021-02-08,SSD,20
2021-02-08,TUN,90
2021-02-08,BDI,63
2021-02-08,BEN,75
2021-02-08,RWA,47
2021-02-08,GIN,27
2021-02-08,ZWE,65
2021-02-08,SEN,113
2021-02-08,SOM,129
2021-02-08,TCD,58
2021-02-08,ZMB,0
2021-02-08,MWI,48
2021-02-08,BFA,83
2021-02-08,MLI,64
2021-02-08,NER,102
2021-02-08,CMR,110
2021-02-08,CIV,134
2021-02-08,MDG,71
2021-02-08,MOZ,115
2021-02-08,GHA,82
2021-02-08,AGO,131
2021-02-08,MAR,109
2021-02-08,DZA,211
2021-02-08,SDN,162
2021-02-08,UGA,151
2021-02-08,KEN,238
2021-02-08,ZAF,139
2021-02-08,TZA,205
2021-02-08,COD,0
2021-02-08,EGY,372
2021-02-08,ETH,760
2021-02-08,NGA,822
2021-02-08,QAT,1
2021-02-08,ARM,8
2021-02-08,MNG,11
2021-02-08,GEO,24
2021-02-08,KWT,7
2021-02-08,OMN,15
2021-02-08,PSE,30
2021-02-08,NZL,14
2021-02-08,LBN,29
2021-02-08,SGP,14
2021-02-08,TKM,24
2021-02-08,KGZ,26
2021-02-08,HKG,19
2021-02-08,LAO,24
2021-02-08,ARE,13
2021-02-08,ISR,34
2021-02-08,AZE,33
2021-02-08,TJK,40
2021-02-08,PNG,34
2021-02-08,JOR,46
2021-02-08,KHM,52
2021-02-08,KAZ,34
2021-02-08,LKA,81
2021-02-08,SYR,103
2021-02-08,PRK,89
2021-02-08,AUS,104
2021-02-08,NPL,97
2021-02-08,MYS,133
2021-02-08,YEM,98
2021-02-08,UZB,114
2021-02-08,SAU,221
2021-02-08,AFG,144
2021-02-08,IRQ,290
2021-02-08,KOR,214
2021-02-08,MMR,199
2021-02-08,THA,294
2021-02-08,TUR,274
2021-02-08,IRN,387
2021-02-08,VNM,317
2021-02-08,PHL,436
2021-02-08,BGD,326
2021-02-08,PAK,909
2021-02-08,IDN,260
2021-02-08,CHN,2985
2021-02-08,IND,1043
2021-02-08,LVA,493
2021-02-08,SVN,1576
2021-02-08,LTU,1615
2021-02-08,HRV,2281
2021-02-08,IRL,3465
2021-02-08,SVK,2876
2021-02-08,FIN,1836
2021-02-08,DNK,2850
2021-02-08,BGR,5093
2021-02-08,AUT,5081
2021-02-08,HUN,5692
2021-02-08,GRC,7156
2021-02-08,PRT,8151
2021-02-08,SWE,9889
2021-02-08,CZE,3661
2021-02-08,BEL,0
2021-02-08,NLD,8371
2021-02-08,ROU,8022
2021-02-08,POL,19753
2021-02-08,ESP,47669
2021-02-08,ITA,16069
2021-02-08,FRA,17482
2021-02-08,DEU,49760
2021-02-08,JPN,18697
2021-02-08,CAN,10335
2021-02-08,USA,111128
2021-02-08,MKD,164
2021-02-08,MDA,338
2021-02-08,ALB,383
2021-02-08,BIH,0
2021-02-08,NOR,527
2021-02-08,SRB,0
2021-02-08,CHE,1092
2021-02-08,BLR,1792
2021-02-08,UKR,4332
2021-02-08,GBR,4815
2021-02-08,RUS,23664
2021-02-08,TTO,64
2021-02-08,JAM,70
2021-02-08,PRI,106
2021-02-08,URY,96
2021-02-08,PAN,90
2021-02-08,CRI,283
2021-02-08,SLV,30
2021-02-08,PRY,188
2021-02-08,NIC,283
2021-02-08,HND,250
2021-02-08,CUB,301
2021-02-08,DOM,344
2021-02-08,HTI,303
2021-02-08,BOL,369
2021-02-08,GTM,552
2021-02-08,ECU,520
2021-02-08,CHL,706
2021-02-08,VEN,1262
2021-02-08,PER,62
2021-02-08,ARG,1232
2021-02-08,COL,1433
2021-02-08,MEX,4666
2021-02-08,BRA,4794
2021-02-15,GNQ,6
2021-02-15,GNB,11
2021-02-15,LSO,9
2021-02-15,GAB,12
2021-02-15,NAM,11
2021-02-15,BWA,12
2021-02-15,GMB,11
2021-02-15,ERI,16
2021-02-15,MRT,19
2021-02-15,LBR,7
2021-02-15,CAF,17
2021-02-15,COG,20
2021-02-15,LBY,51
2021-02-15,SLE,34
2021-02-15,TGO,46
2021-02-15,SSD,71
2021-02-15,TUN,58
2021-02-15,BDI,29
2021-02-15,BEN,70
2021-02-15,RWA,77
2021-02-15,GIN,61
2021-02-15,ZWE,50
2021-02-15,SEN,71
2021-02-15,SOM,75
2021-02-15,TCD,72
2021-02-15,ZMB,82
2021-02-15,MWI,85
2021-02-15,BFA,100
2021-02-15,MLI,156
2021-02-15,NER,256
2021-02-15,CMR,137
2021-02-15,CIV,115
2021-02-15,MDG,290
2021-02-15,MOZ,0
2021-02-15,GHA,121
2021-02-15,AGO,298
2021-02-15,MAR,71
2021-02-15,DZA,160
2021-02-15,SDN,257
2021-02-15,UGA,151
2021-02-15,KEN,187
2021-02-15,ZAF,134
2021-02-15,TZA,238
2021-02-15,COD,167
2021-02-15,EGY,383
2021-02-15,ETH,152
2021-02-15,NGA,657
2021-02-15,QAT,5
2021-02-15,ARM,14
2021-02-15,MNG,10
2021-02-15,GEO,9
2021-02-15,KWT,17
2021-02-15,OMN,11
2021-02-15,PSE,23
2021-02-15,NZL,3
2021-02-15,LBN,6
2021-02-15,SGP,9
2021-02-15,TKM,4
2021-02-15,KGZ,10
2021-02-15,HKG,31
2021-02-15,LAO,21
2021-02-15,ARE,28
2021-02-15,ISR,30
2021-02-15,AZE,27
2021-02-15,TJK,23
2021-02-15,PNG,25
2021-02-15,JOR,35
2021-02-15,KHM,26
2021-02-15,KAZ,31
2021-02-15,LKA,39
2021-02-15,SYR,51
2021-02-15,PRK,81
2021-02-15,AUS,76
2021-02-15,NPL,85
2021-02-15,MYS,55
2021-02-15,YEM,75
2021-02-15,UZB,103
2021-02-15,SAU,47
2021-02-15,AFG,98
2021-02-15,IRQ,95
2021-02-15,KOR,190
2021-02-15,MMR,60
2021-02-15,THA,167
2021-02-15,TUR,174
2021-02-15,IRN,103
2021-02-15,VNM,279
2021-02-15,PHL,173
2021-02-15,BGD,457
2021-02-15,PAK,585
2021-02-15,IDN,663
2021-02-15,CHN,2146
2021-02-15,IND,4971
2021-02-15,LVA,585
2021-02-15,SVN,726
2021-02-15,LTU,765
2021-02-15,HRV,1573
2021-02-15,IRL,654
2021-02-15,SVK,1655
2021-02-15,FIN,1467
2021-02-15,DNK,1853
2021-02-15,BGR,1112
2021-02-15,AUT,2349
2021-02-15,HUN,4100
2021-02-15,GRC,3645
2021-02-15,PRT,2738
2021-02-15,SWE,3377
2021-02-15,CZE,3439
2021-02-15,BEL,4831
2021-02-15,NLD,4953
2021-02-15,ROU,5802
2021-02-15,POL,12926
2021-02-15,ESP,23156
2021-02-15,ITA,19275
2021-02-15,FRA,14152
2021-02-15,DEU,29518
2021-02-15,JPN,16091
2021-02-15,CAN,8315
2021-02-15,USA,16685
2021-02-15,MKD,170
2021-02-15,MDA,173
2021-02-15,ALB,306
2021-02-15,BIH,418
2021-02-15,NOR,434
2021-02-15,SRB,506
2021-02-15,CHE,607
2021-02-15,BLR,846
2021-02-15,UKR,3390
2021-02-15,GBR,8884
2021-02-15,RUS,8110
2021-02-15,TTO,50
2021-02-15,JAM,87
2021-02-15,PRI,104
2021-02-15,URY,90
2021-02-15,PAN,158
2021-02-15,CRI,74
2021-02-15,SLV,179
2021-02-15,PRY,6
2021-02-15,NIC,337
2021-02-15,HND,448
2021-02-15,CUB,212
2021-02-15,DOM,419
2021-02-15,HTI,381
2021-02-15,BOL,33
2021-02-15,GTM,550
